CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Polynesia,Production,2015.0,1000 tonnes,13.0,A
Solomon Islands,Production,2015.0,1000 tonnes,13.0,Im
United Republic of Tanzania,Production,2015.0,1000 tonnes,12.0,Im
Vanuatu,Production,2015.0,1000 tonnes,12.0,Im
Jamaica,Production,2015.0,1000 tonnes,11.0,Im
Nigeria,Production,2015.0,1000 tonnes,10.0,Im
French Polynesia,Production,2015.0,1000 tonnes,8.0,Im
Venezuela (Bolivarian Republic of),Production,2015.0,1000 tonnes,8.0,Im
Cambodia,Production,2015.0,1000 tonnes,7.0,Im
Dominican Republic,Production,2015.0,1000 tonnes,7.0,Im
Ghana,Production,2015.0,1000 tonnes,7.0,Im
Comoros,Production,2015.0,1000 tonnes,6.0,Im
Madagascar,Production,2015.0,1000 tonnes,6.0,Im
Guinea-Bissau,Production,2015.0,1000 tonnes,5.0,Im
Kenya,Production,2015.0,1000 tonnes,5.0,Im
Pakistan,Production,2015.0,1000 tonnes,5.0,Im
Samoa,Production,2015.0,1000 tonnes,5.0,Im
Kiribati,Production,2015.0,1000 tonnes,4.0,Im
Micronesia,Production,2015.0,1000 tonnes,4.0,A
Benin,Production,2015.0,1000 tonnes,3.0,Im
Fiji,Production,2015.0,1000 tonnes,3.0,Im
Belgium,Production,2015.0,1000 tonnes,2.0,Im
Brazil,Production,2015.0,1000 tonnes,2.0,Im
Ecuador,Production,2015.0,1000 tonnes,2.0,Im
El Salvador,Production,2015.0,1000 tonnes,2.0,Im
Guyana,Production,2015.0,1000 tonnes,2.0,Im
Poland,Production,2015.0,1000 tonnes,2.0,Im
Cameroon,Production,2015.0,1000 tonnes,1.0,Im
Dominica,Production,2015.0,1000 tonnes,1.0,Im
Guinea,Production,2015.0,1000 tonnes,1.0,Im
Honduras,Production,2015.0,1000 tonnes,1.0,Im
Republic of Korea,Production,2015.0,1000 tonnes,1.0,Im
Suriname,Production,2015.0,1000 tonnes,1.0,Im
Timor-Leste,Production,2015.0,1000 tonnes,1.0,Im
Togo,Production,2015.0,1000 tonnes,1.0,Im
Trinidad and Tobago,Production,2015.0,1000 tonnes,1.0,Im
Albania,Production,2015.0,1000 tonnes,0.0,Im
Argentina,Production,2015.0,1000 tonnes,0.0,Im
Australia,Production,2015.0,1000 tonnes,0.0,Im
Australia and New Zealand,Production,2015.0,1000 tonnes,0.0,A
Austria,Production,2015.0,1000 tonnes,0.0,Im
Azerbaijan,Production,2015.0,1000 tonnes,0.0,Im
Barbados,Production,2015.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Production,2015.0,1000 tonnes,0.0,Im
China,Production,2015.0,1000 tonnes,0.0,A
"China, Hong Kong SAR",Production,2015.0,1000 tonnes,0.0,Im
Other non-specified areas,Production,2015.0,1000 tonnes,0.0,Im
Colombia,Production,2015.0,1000 tonnes,0.0,Im
Costa Rica,Production,2015.0,1000 tonnes,0.0,Im
Croatia,Production,2015.0,1000 tonnes,0.0,Im
Denmark,Production,2015.0,1000 tonnes,0.0,Im
Egypt,Production,2015.0,1000 tonnes,0.0,Im
Eswatini,Production,2015.0,1000 tonnes,0.0,Im
Finland,Production,2015.0,1000 tonnes,0.0,Im
France,Production,2015.0,1000 tonnes,0.0,Im
Germany,Production,2015.0,1000 tonnes,0.0,Im
Grenada,Production,2015.0,1000 tonnes,0.0,Im
Guatemala,Production,2015.0,1000 tonnes,0.0,Im
Iraq,Production,2015.0,1000 tonnes,0.0,Im
Ireland,Production,2015.0,1000 tonnes,0.0,Im
Italy,Production,2015.0,1000 tonnes,0.0,Im
Maldives,Production,2015.0,1000 tonnes,0.0,Im
Mauritius,Production,2015.0,1000 tonnes,0.0,Im
Nepal,Production,2015.0,1000 tonnes,0.0,Im
Netherlands,Production,2015.0,1000 tonnes,0.0,Im
New Caledonia,Production,2015.0,1000 tonnes,0.0,Im
New Zealand,Production,2015.0,1000 tonnes,0.0,Im
Nicaragua,Production,2015.0,1000 tonnes,0.0,Im
Norway,Production,2015.0,1000 tonnes,0.0,Im
Panama,Production,2015.0,1000 tonnes,0.0,Im
Peru,Production,2015.0,1000 tonnes,0.0,Im
Portugal,Production,2015.0,1000 tonnes,0.0,Im
Saint Kitts and Nevis,Production,2015.0,1000 tonnes,0.0,Im
Saint Lucia,Production,2015.0,1000 tonnes,0.0,Im
Saint Vincent and the Grenadines,Production,2015.0,1000 tonnes,0.0,Im
Sao Tome and Principe,Production,2015.0,1000 tonnes,0.0,Im
Seychelles,Production,2015.0,1000 tonnes,0.0,Im
South Africa,Production,2015.0,1000 tonnes,0.0,Im
