CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Romania,Processing,1983.0,1000 tonnes,0.0,A
Sweden,Processing,1983.0,1000 tonnes,0.0,A
Thailand,Processing,1983.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1983.0,1000 tonnes,0.0,A
Brazil,Processing,1982.0,1000 tonnes,0.0,A
Canada,Processing,1982.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1982.0,1000 tonnes,0.0,A
Denmark,Processing,1982.0,1000 tonnes,0.0,A
France,Processing,1982.0,1000 tonnes,0.0,A
Hungary,Processing,1982.0,1000 tonnes,0.0,A
Japan,Processing,1982.0,1000 tonnes,0.0,A
Romania,Processing,1982.0,1000 tonnes,0.0,A
Sweden,Processing,1982.0,1000 tonnes,0.0,A
Thailand,Processing,1982.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1982.0,1000 tonnes,0.0,A
Brazil,Processing,1981.0,1000 tonnes,0.0,A
Canada,Processing,1981.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1981.0,1000 tonnes,0.0,A
Denmark,Processing,1981.0,1000 tonnes,0.0,A
France,Processing,1981.0,1000 tonnes,0.0,A
Hungary,Processing,1981.0,1000 tonnes,0.0,A
Japan,Processing,1981.0,1000 tonnes,0.0,A
Romania,Processing,1981.0,1000 tonnes,0.0,A
Sweden,Processing,1981.0,1000 tonnes,0.0,A
Thailand,Processing,1981.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1981.0,1000 tonnes,0.0,A
Brazil,Processing,1980.0,1000 tonnes,0.0,A
Canada,Processing,1980.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1980.0,1000 tonnes,0.0,A
Denmark,Processing,1980.0,1000 tonnes,0.0,A
France,Processing,1980.0,1000 tonnes,0.0,A
Hungary,Processing,1980.0,1000 tonnes,0.0,A
Japan,Processing,1980.0,1000 tonnes,0.0,A
Romania,Processing,1980.0,1000 tonnes,0.0,A
Sweden,Processing,1980.0,1000 tonnes,0.0,A
Thailand,Processing,1980.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1980.0,1000 tonnes,0.0,A
Brazil,Processing,1979.0,1000 tonnes,0.0,A
Canada,Processing,1979.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1979.0,1000 tonnes,0.0,A
Denmark,Processing,1979.0,1000 tonnes,0.0,A
France,Processing,1979.0,1000 tonnes,0.0,A
Hungary,Processing,1979.0,1000 tonnes,0.0,A
Japan,Processing,1979.0,1000 tonnes,0.0,A
Romania,Processing,1979.0,1000 tonnes,0.0,A
Sweden,Processing,1979.0,1000 tonnes,0.0,A
Thailand,Processing,1979.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1979.0,1000 tonnes,0.0,A
Brazil,Processing,1978.0,1000 tonnes,0.0,A
Canada,Processing,1978.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1978.0,1000 tonnes,0.0,A
Denmark,Processing,1978.0,1000 tonnes,0.0,A
France,Processing,1978.0,1000 tonnes,0.0,A
Hungary,Processing,1978.0,1000 tonnes,0.0,A
Japan,Processing,1978.0,1000 tonnes,0.0,A
Romania,Processing,1978.0,1000 tonnes,0.0,A
Sweden,Processing,1978.0,1000 tonnes,0.0,A
Thailand,Processing,1978.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1978.0,1000 tonnes,0.0,A
Brazil,Processing,1977.0,1000 tonnes,0.0,A
Canada,Processing,1977.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1977.0,1000 tonnes,0.0,A
Denmark,Processing,1977.0,1000 tonnes,0.0,A
France,Processing,1977.0,1000 tonnes,0.0,A
Hungary,Processing,1977.0,1000 tonnes,0.0,A
Japan,Processing,1977.0,1000 tonnes,0.0,A
